t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1787849670665,0.2275,0.9672,0.2200,0.0000,0.3664,crossFingers
1787849670731,0.2363,0.8104,0.1915,0.0000,0.3664,sideEyeCat
1787849670798,0.2057,0.9975,0.2051,0.0000,0.3664,sideEyeCat
1787849670865,0.1601,0.0000,0.0000,0.0000,0.3664,sideEyeCat
1787849670931,0.1471,0.0000,0.0000,0.0000,0.3664,sideEyeCat
1787849670997,0.1001,0.0000,0.0000,0.0000,0.3664,sideEyeCat
1787849671099,0.1344,0.0000,0.0000,0.0000,0.2977,sideEyeCat
1787849671164,0.1138,0.0000,0.0000,0.0000,0.2977,sideEyeCat
1787849671231,0.1216,0.0000,0.0000,0.0000,0.2975,sideEyeCat
1787849671297,0.1529,0.0000,0.0000,0.0000,0.2975,sideEyeCat
1787849671398,0.2530,0.7931,0.2006,0.0000,0.2975,sideEyeCat
1787849671499,0.3191,0.8431,0.2690,0.0000,0.2975,sideEyeCat
1787849671599,0.2694,0.8355,0.2251,0.0000,0.2975,sideEyeCat
1787849671700,0.2511,0.9397,0.2359,0.0000,0.2975,sideEyeCat
1787849671799,0.2487,0.9851,0.2449,0.0000,0.2975,sideEyeCat
1787849671899,0.2413,0.9315,0.2248,0.0000,0.2975,sideEyeCat
1787849671999,0.1545,0.0000,0.0000,0.0000,0.2975,twoHandsCoverFace
1787849672099,0.0696,0.0000,0.0000,0.0000,0.2975,twoHandsCoverFace
1787849672199,0.0881,0.0000,0.0000,0.0000,0.2975,twoHandsCoverFace
1787849672298,0.1067,0.0000,0.0000,0.0000,0.2690,twoHandsCoverFace
1787849672399,0.0671,0.0000,0.0000,0.0000,0.2690,twoHandsCoverFace
1787849672499,0.0595,0.0000,0.0000,0.0000,0.2690,twoHandsCoverFace
1787849672599,0.0592,0.0000,0.0000,0.0000,0.2690,twoHandsCoverFace
1787849672699,0.0739,0.0000,0.0000,0.0000,0.2690,twoHandsCoverFace
1787849672798,0.0722,0.0000,0.0000,0.0000,0.2690,twoHandsCoverFace
1787849672898,0.0797,0.0000,0.0000,0.0000,0.2690,twoHandsCoverFace
1787849672998,0.2206,0.7918,0.1747,0.0000,0.2690,twoHandsCoverFace
1787849673098,0.3926,0.8143,0.3197,0.0000,0.3197,twoHandsCoverFace
1787849673199,0.5002,0.7735,0.3869,0.0000,0.3869,twoHandsCoverFace
1787849673298,0.4604,0.9638,0.4438,0.0000,0.4438,twoHandsCoverFace
1787849673398,0.4204,0.9717,0.4085,0.0000,0.4438,twoHandsCoverFace
1787849673498,0.5031,0.9954,0.5008,0.0000,0.5008,twoHandsCoverFace
1787849673599,0.3381,0.7594,0.2568,0.0000,0.5008,twoHandsCoverFace
1787849673698,0.5504,0.9140,0.5031,0.0000,0.5031,twoHandsCoverFace
1787849673797,0.5957,0.9226,0.5496,0.0000,0.5496,twoHandsCoverFace
1787849673864,0.5543,0.8421,0.4668,0.0000,0.5496,twoHandsCoverFace
1787849673930,0.5406,0.9257,0.5004,0.0000,0.5496,twoHandsCoverFace
1787849673997,0.5707,0.7519,0.4291,0.0000,0.5496,twoHandsCoverFace
1787849674063,0.5891,0.9559,0.5631,0.0000,0.5631,sideEyeCat
1787849674130,0.5740,0.7655,0.4394,0.0000,0.5631,sideEyeCat
1787849674197,0.5137,0.9615,0.4940,0.0000,0.5631,sideEyeCat
1787849674263,0.4176,0.7371,0.3078,0.0000,0.5631,sideEyeCat
1787849674330,0.2288,0.9265,0.2120,0.0000,0.5631,sideEyeCat
1787849674396,0.1633,0.0000,0.0000,0.0000,0.5631,sideEyeCat
1787849674498,0.5580,0.6818,0.3804,0.0000,0.5631,sideEyeCat
1787849674598,0.8048,0.8945,0.7200,0.0385,0.7200,sideEyeCat
1787849674663,0.6446,0.7262,0.4681,0.0385,0.7200,sideEyeCat
1787849674730,0.7377,0.9433,0.6959,0.0385,0.7200,sideEyeCat
1787849674795,0.6430,0.6298,0.4050,0.0370,0.7200,sideEyeCat
1787849674897,0.7493,0.8502,0.6371,0.0370,0.7200,sideEyeCat
1787849674964,0.4773,0.6417,0.3063,0.0370,0.7200,sideEyeCat
1787849675030,0.4124,0.8851,0.3651,0.0370,0.7200,sideEyeCat
1787849675097,0.3196,0.4049,0.1294,0.0357,0.7200,sideEyeCat
1787849675164,0.2776,0.9737,0.2703,0.0357,0.7200,sideEyeCat
1787849675230,0.2235,0.5068,0.1133,0.0357,0.7200,sideEyeCat
1787849675295,0.1532,0.0000,0.0000,0.0345,0.7200,sideEyeCat
1787849675396,0.1811,0.0000,0.0000,0.0345,0.7200,sideEyeCat
